PartitionKey,RowKey,Timestamp,RackRow,RackRow@type,Label,Label@type,WeightPre,WeightPre@type,WeightPost,WeightPost@type,WeightDiff,WeightDiff@type,DistMinH,DistMinH@type,DistMaxH,DistMaxH@type,DistAvgH,DistAvgH@type,DistMinL,DistMinL@type,DistMaxL,DistMaxL@type,DistAvgL,DistAvgL@type,DistTime,DistTime@type
F0:08:D1:C8:A7:34,948cac2b-d84a-4177-9f41-f3b7d58aefdb,2022-05-28T13:25:41.7055085Z,2,Int32,14,Int32,0,Int32,0,Int32,0,Int32,34,Int32,37,Int32,35,Int32,34,Int32,37,Int32,35,Int32,2451,Int32
F0:08:D1:C8:A7:34,9693d23d-823d-495e-b684-d20a8f6ecce0,2022-05-25T13:19:29.2223134Z,2,Int32,18,Int32,0,Int32,0,Int32,0,Int32,9,Int32,10,Int32,9,Int32,9,Int32,10,Int32,9,Int32,758,Int32
F0:08:D1:C8:A7:34,9937ca48-5ea1-4975-a0fa-6d44c2177c1e,2022-05-28T13:34:00.7278855Z,2,Int32,4,Int32,0,Int32,0,Int32,0,Int32,18,Int32,22,Int32,19,Int32,18,Int32,22,Int32,19,Int32,3397,Int32
F0:08:D1:C8:A7:34,9aaef33b-bd4d-4446-9444-abaf0fedc2b6,2022-05-28T13:18:57.7655227Z,2,Int32,14,Int32,0,Int32,0,Int32,0,Int32,33,Int32,34,Int32,33,Int32,33,Int32,34,Int32,33,Int32,947,Int32
F0:08:D1:C8:A7:34,9f6093a9-2054-495c-88dc-6f8df574babd,2022-05-28T14:24:28.758264Z,2,Int32,11,Int32,0,Int32,0,Int32,0,Int32,13,Int32,16,Int32,13,Int32,13,Int32,17,Int32,15,Int32,2036,Int32
F0:08:D1:C8:A7:34,9f80d9ec-deb8-425c-b70d-3561f7ac22fc,2022-05-28T13:35:46.4750699Z,2,Int32,12,Int32,0,Int32,0,Int32,0,Int32,8,Int32,11,Int32,8,Int32,7,Int32,12,Int32,8,Int32,2212,Int32
F0:08:D1:C8:A7:34,a0bf91bc-d9c8-4f1b-8045-c59653e6f646,2022-05-25T13:18:11.5502759Z,2,Int32,11,Int32,0,Int32,0,Int32,0,Int32,17,Int32,19,Int32,18,Int32,17,Int32,19,Int32,18,Int32,390,Int32
F0:08:D1:C8:A7:34,a3aafa04-3ce8-4c6d-9da6-f16ee2c2bf1a,2022-05-28T13:20:52.4689756Z,2,Int32,22,Int32,0,Int32,0,Int32,0,Int32,14,Int32,17,Int32,16,Int32,14,Int32,17,Int32,16,Int32,1495,Int32
F0:08:D1:C8:A7:34,a788debd-49af-4dc6-a74d-9f135d954876,2022-05-28T13:15:32.9486359Z,2,Int32,1,Int32,0,Int32,0,Int32,0,Int32,34,Int32,42,Int32,38,Int32,34,Int32,42,Int32,38,Int32,2464,Int32
F0:08:D1:C8:A7:34,ab9507b5-e451-4249-af88-1168bfe937e7,2022-05-28T13:34:43.9816432Z,2,Int32,7,Int32,0,Int32,0,Int32,0,Int32,39,Int32,41,Int32,40,Int32,39,Int32,42,Int32,40,Int32,2258,Int32
F0:08:D1:C8:A7:34,abefbee8-8d95-432b-a466-c6b18db27229,2022-05-25T13:19:59.4224479Z,2,Int32,20,Int32,0,Int32,0,Int32,0,Int32,31,Int32,34,Int32,32,Int32,31,Int32,34,Int32,32,Int32,393,Int32
F0:08:D1:C8:A7:34,adc6c34e-68c7-4816-9afa-3a6b1f84c28a,2022-05-25T13:21:34.5713254Z,2,Int32,4,Int32,0,Int32,0,Int32,0,Int32,18,Int32,21,Int32,19,Int32,21,Int32,22,Int32,21,Int32,206,Int32
F0:08:D1:C8:A7:34,ade3757d-175c-4a7e-8ab8-d2d603c65fa2,2022-05-28T13:25:52.8038331Z,2,Int32,15,Int32,0,Int32,0,Int32,0,Int32,21,Int32,24,Int32,22,Int32,21,Int32,24,Int32,22,Int32,2983,Int32
F0:08:D1:C8:A7:34,b0290428-17bc-482c-bc7a-da039d86c034,2022-05-28T13:28:51.5667412Z,2,Int32,4,Int32,0,Int32,0,Int32,0,Int32,20,Int32,22,Int32,21,Int32,20,Int32,25,Int32,22,Int32,1861,Int32
F0:08:D1:C8:A7:34,b11367c0-df4e-4368-96d5-bf8e19e192a6,2022-05-28T14:25:47.6128044Z,2,Int32,17,Int32,0,Int32,0,Int32,0,Int32,13,Int32,19,Int32,14,Int32,13,Int32,19,Int32,14,Int32,1668,Int32
F0:08:D1:C8:A7:34,b13ca008-0def-442e-becf-fd6081f47e9b,2022-05-28T13:24:53.9361277Z,2,Int32,10,Int32,0,Int32,0,Int32,0,Int32,15,Int32,18,Int32,17,Int32,17,Int32,18,Int32,17,Int32,1870,Int32
F0:08:D1:C8:A7:34,b2f25713-3461-4126-81df-cad36c81c244,2022-05-28T13:21:11.117344Z,2,Int32,24,Int32,0,Int32,0,Int32,0,Int32,4,Int32,11,Int32,5,Int32,4,Int32,11,Int32,5,Int32,1670,Int32
F0:08:D1:C8:A7:34,b3035eee-bc3a-4241-bcfa-5c82019f741d,2022-05-28T13:18:02.0742804Z,2,Int32,9,Int32,0,Int32,0,Int32,0,Int32,25,Int32,30,Int32,28,Int32,25,Int32,30,Int32,28,Int32,1890,Int32
F0:08:D1:C8:A7:34,b64b27e2-9713-4942-ac5d-68356e976996,2022-05-28T13:34:54.3373321Z,2,Int32,8,Int32,0,Int32,0,Int32,0,Int32,26,Int32,35,Int32,32,Int32,26,Int32,39,Int32,32,Int32,2056,Int32
F0:08:D1:C8:A7:34,b6af967b-cd31-40c8-9f43-dd3bc39f18eb,2022-05-28T14:24:45.0511336Z,2,Int32,12,Int32,0,Int32,0,Int32,0,Int32,6,Int32,17,Int32,7,Int32,6,Int32,17,Int32,8,Int32,2228,Int32
F0:08:D1:C8:A7:34,ba5daa03-cd9b-457a-90fd-dcb8f6ec973f,2022-05-28T13:17:28.9450282Z,2,Int32,7,Int32,0,Int32,0,Int32,0,Int32,40,Int32,42,Int32,41,Int32,40,Int32,42,Int32,41,Int32,826,Int32
F0:08:D1:C8:A7:34,bae16533-b15f-431d-92a6-33b986460e48,2022-05-28T13:29:39.6839086Z,2,Int32,8,Int32,0,Int32,0,Int32,0,Int32,33,Int32,35,Int32,34,Int32,33,Int32,35,Int32,33,Int32,1695,Int32
F0:08:D1:C8:A7:34,bba0009f-7197-4d62-9042-359497553481,2022-05-28T13:21:02.2696067Z,2,Int32,23,Int32,0,Int32,0,Int32,0,Int32,9,Int32,11,Int32,10,Int32,9,Int32,11,Int32,10,Int32,1312,Int32
F0:08:D1:C8:A7:34,bd991b29-5eda-42de-9d56-453445c39026,2022-05-28T14:26:06.4925423Z,2,Int32,18,Int32,0,Int32,0,Int32,0,Int32,8,Int32,11,Int32,9,Int32,7,Int32,11,Int32,8,Int32,2216,Int32
F0:08:D1:C8:A7:34,bdd27f7d-d15f-4241-90ca-f7dc1ebac4d8,2022-05-28T13:36:31.7943359Z,2,Int32,16,Int32,0,Int32,0,Int32,0,Int32,18,Int32,21,Int32,19,Int32,18,Int32,21,Int32,19,Int32,2230,Int32
F0:08:D1:C8:A7:34,be46ad7c-2efb-4208-90d5-dbb0278b47d5,2022-05-28T13:27:22.4024316Z,2,Int32,22,Int32,0,Int32,0,Int32,0,Int32,14,Int32,18,Int32,15,Int32,14,Int32,18,Int32,15,Int32,1678,Int32
F0:08:D1:C8:A7:34,bef2f3da-ff54-4bde-ac27-dfc0bff09e99,2022-05-28T13:25:31.1363545Z,2,Int32,13,Int32,0,Int32,0,Int32,0,Int32,39,Int32,43,Int32,40,Int32,40,Int32,43,Int32,41,Int32,1897,Int32
F0:08:D1:C8:A7:34,c0206b80-0e1b-448c-a94d-97c6f5b24b2d,2022-05-28T13:23:34.8091764Z,2,Int32,3,Int32,0,Int32,0,Int32,0,Int32,27,Int32,28,Int32,27,Int32,27,Int32,28,Int32,27,Int32,1499,Int32
F0:08:D1:C8:A7:34,c11c5f89-c5a8-4d19-a34a-a4b585ff510a,2022-05-25T13:18:22.2214358Z,2,Int32,12,Int32,0,Int32,0,Int32,0,Int32,10,Int32,11,Int32,10,Int32,10,Int32,11,Int32,10,Int32,334,Int32
F0:08:D1:C8:A7:34,c1e1c3f8-9039-4ff7-98c1-91402347269e,2022-05-25T13:20:59.767581Z,2,Int32,1,Int32,0,Int32,0,Int32,0,Int32,35,Int32,42,Int32,38,Int32,35,Int32,42,Int32,39,Int32,766,Int32
F0:08:D1:C8:A7:34,c495bc12-337b-458a-aee4-b3811fc9e12c,2022-05-28T13:29:05.268491Z,2,Int32,5,Int32,0,Int32,0,Int32,0,Int32,8,Int32,9,Int32,8,Int32,8,Int32,9,Int32,8,Int32,1864,Int32
F0:08:D1:C8:A7:34,c4f12bcf-a49b-4d56-8178-fe2e8613f1ad,2022-05-28T13:57:57.5636392Z,2,Int32,18,Int32,0,Int32,0,Int32,0,Int32,4,Int32,6,Int32,4,Int32,4,Int32,6,Int32,4,Int32,2038,Int32
F0:08:D1:C8:A7:34,c513fb28-9c92-40cb-9937-4c5a5b4a5580,2022-05-28T13:58:36.2934585Z,2,Int32,22,Int32,0,Int32,0,Int32,0,Int32,20,Int32,26,Int32,21,Int32,20,Int32,26,Int32,21,Int32,2795,Int32
F0:08:D1:C8:A7:34,c567ff3a-31a8-4c7d-9214-6d67df98c1b7,2022-05-25T13:20:43.3283509Z,2,Int32,23,Int32,0,Int32,0,Int32,0,Int32,15,Int32,16,Int32,15,Int32,15,Int32,16,Int32,15,Int32,576,Int32
F0:08:D1:C8:A7:34,ca7c50d0-b0a5-4f22-acf5-aeb41185441f,2022-05-28T13:35:16.7235721Z,2,Int32,10,Int32,0,Int32,0,Int32,0,Int32,18,Int32,20,Int32,19,Int32,18,Int32,20,Int32,19,Int32,4859,Int32
F0:08:D1:C8:A7:34,ce320e67-dfb3-4db4-a7bf-3ee3fd701bfc,2022-05-28T13:29:28.7619119Z,2,Int32,7,Int32,0,Int32,0,Int32,0,Int32,38,Int32,40,Int32,38,Int32,38,Int32,40,Int32,38,Int32,2075,Int32
F0:08:D1:C8:A7:34,ce56c0cd-43e3-407c-87da-04f1b005a7e1,2022-05-28T13:20:19.373843Z,2,Int32,20,Int32,0,Int32,0,Int32,0,Int32,22,Int32,24,Int32,22,Int32,22,Int32,24,Int32,22,Int32,1131,Int32
F0:08:D1:C8:A7:34,cf4f483b-87d2-4fe3-8045-91feedd657db,2022-05-28T13:15:44.475763Z,2,Int32,2,Int32,0,Int32,0,Int32,0,Int32,28,Int32,39,Int32,35,Int32,28,Int32,39,Int32,35,Int32,2267,Int32
F0:08:D1:C8:A7:34,d07d1f06-8aaf-40b7-9249-f30b440dfe9f,2022-05-28T13:35:30.7635695Z,2,Int32,11,Int32,0,Int32,0,Int32,0,Int32,6,Int32,12,Int32,8,Int32,6,Int32,12,Int32,8,Int32,2588,Int32
F0:08:D1:C8:A7:34,d3797c24-f085-4090-9e2f-b34c7af0a121,2022-05-28T13:36:07.9413797Z,2,Int32,14,Int32,0,Int32,0,Int32,0,Int32,28,Int32,35,Int32,31,Int32,28,Int32,35,Int32,31,Int32,2056,Int32
F0:08:D1:C8:A7:34,d3a86584-9aaf-49f1-b405-90e3c259d8ea,2022-05-28T14:24:03.2380888Z,2,Int32,10,Int32,0,Int32,0,Int32,0,Int32,20,Int32,29,Int32,22,Int32,20,Int32,29,Int32,22,Int32,2125,Int32
F0:08:D1:C8:A7:34,d6e6d00d-1931-4bb6-bc98-bf311adc7644,2022-05-28T13:35:04.3080718Z,2,Int32,9,Int32,0,Int32,0,Int32,0,Int32,22,Int32,35,Int32,28,Int32,22,Int32,35,Int32,27,Int32,2416,Int32
F0:08:D1:C8:A7:34,d9756995-be98-41df-86e0-01f3bc3abe86,2022-05-28T13:58:06.7114003Z,2,Int32,19,Int32,0,Int32,0,Int32,0,Int32,39,Int32,42,Int32,40,Int32,39,Int32,42,Int32,40,Int32,1882,Int32
F0:08:D1:C8:A7:34,da279e49-c0a3-4ccb-8d08-e0ce72788bc9,2022-05-28T13:25:15.9189748Z,2,Int32,12,Int32,0,Int32,0,Int32,0,Int32,6,Int32,9,Int32,6,Int32,6,Int32,9,Int32,7,Int32,2038,Int32
F0:08:D1:C8:A7:34,dc39c90b-165e-4c56-b8cf-4091af8dcd18,2022-05-25T13:18:37.9713247Z,2,Int32,13,Int32,0,Int32,0,Int32,0,Int32,37,Int32,42,Int32,39,Int32,37,Int32,42,Int32,39,Int32,950,Int32
F0:08:D1:C8:A7:34,deea2e70-a70a-4016-ad13-f121fb4e0b21,2022-05-28T14:23:49.5652511Z,2,Int32,9,Int32,0,Int32,0,Int32,0,Int32,25,Int32,28,Int32,26,Int32,25,Int32,27,Int32,26,Int32,2637,Int32
F0:08:D1:C8:A7:34,e1acce68-9f94-4a1c-b681-5e118f6de6bb,2022-05-28T13:58:55.4504848Z,2,Int32,24,Int32,0,Int32,0,Int32,0,Int32,4,Int32,6,Int32,4,Int32,4,Int32,6,Int32,4,Int32,3318,Int32
F0:08:D1:C8:A7:34,e255c071-142b-45c6-b9fd-c236309527fc,2022-05-28T13:26:40.5454784Z,2,Int32,19,Int32,0,Int32,0,Int32,0,Int32,38,Int32,43,Int32,41,Int32,38,Int32,43,Int32,41,Int32,2817,Int32
F0:08:D1:C8:A7:34,e54210c2-d6f3-46ca-bdf0-c2c0ae62ba53,2022-05-25T13:21:25.8944897Z,2,Int32,3,Int32,0,Int32,0,Int32,0,Int32,22,Int32,31,Int32,27,Int32,22,Int32,31,Int32,27,Int32,1142,Int32
F0:08:D1:C8:A7:34,e6f6eec3-ff26-495f-843b-9d1c0f3f8e5d,2022-05-28T15:48:12.1467119Z,2,Int32,4,Int32,0,Int32,0,Int32,0,Int32,18,Int32,20,Int32,18,Int32,18,Int32,20,Int32,18,Int32,1679,Int32
F0:08:D1:C8:A7:34,e847098b-36a7-4530-8dd4-2dace6eca096,2022-05-28T13:32:10.7972587Z,2,Int32,21,Int32,0,Int32,0,Int32,0,Int32,26,Int32,34,Int32,31,Int32,26,Int32,34,Int32,31,Int32,2991,Int32
F0:08:D1:C8:A7:34,e99829c0-61ec-419f-9cc9-60295ac710e2,2022-05-28T13:18:33.6915161Z,2,Int32,12,Int32,0,Int32,0,Int32,0,Int32,5,Int32,8,Int32,6,Int32,5,Int32,9,Int32,7,Int32,1850,Int32
F0:08:D1:C8:A7:34,ead22288-2264-42fa-a7a1-46d7e341e7bb,2022-05-28T13:32:22.2608843Z,2,Int32,22,Int32,0,Int32,0,Int32,0,Int32,16,Int32,18,Int32,16,Int32,16,Int32,18,Int32,16,Int32,1862,Int32
F0:08:D1:C8:A7:34,ecffc9f8-2e2b-438d-9a84-482af50476f1,2022-05-28T13:27:31.2676009Z,2,Int32,23,Int32,0,Int32,0,Int32,0,Int32,9,Int32,10,Int32,9,Int32,9,Int32,10,Int32,9,Int32,1862,Int32
F0:08:D1:C8:A7:34,ee107ead-7373-42c7-b8bd-245626cb9217,2022-05-25T13:17:38.2561121Z,2,Int32,8,Int32,0,Int32,0,Int32,0,Int32,33,Int32,34,Int32,33,Int32,33,Int32,34,Int32,33,Int32,767,Int32
F0:08:D1:C8:A7:34,ef0d0a35-2965-4305-9e2c-f7696144fdc5,2022-05-28T13:19:57.7676226Z,2,Int32,19,Int32,0,Int32,0,Int32,0,Int32,26,Int32,38,Int32,34,Int32,26,Int32,38,Int32,34,Int32,2995,Int32
F0:08:D1:C8:A7:34,f0f4ec83-756d-4fda-908b-e221b073bada,2022-05-28T13:19:45.3438762Z,2,Int32,18,Int32,0,Int32,0,Int32,0,Int32,41,Int32,43,Int32,41,Int32,41,Int32,43,Int32,41,Int32,952,Int32
F0:08:D1:C8:A7:34,f3f96d41-16a6-4be2-8534-404629203a71,2022-05-28T13:16:34.6016846Z,2,Int32,6,Int32,0,Int32,0,Int32,0,Int32,3,Int32,8,Int32,4,Int32,3,Int32,8,Int32,4,Int32,2403,Int32
F0:08:D1:C8:A7:34,f668853b-63f0-402f-9987-9965da34ca6e,2022-05-28T13:26:02.9640693Z,2,Int32,16,Int32,0,Int32,0,Int32,0,Int32,16,Int32,17,Int32,16,Int32,16,Int32,17,Int32,16,Int32,2422,Int32
F0:08:D1:C8:A7:34,f8204eca-8ec6-4442-8b1f-bbcf342534c5,2022-05-25T13:20:33.9085238Z,2,Int32,22,Int32,0,Int32,0,Int32,0,Int32,23,Int32,23,Int32,23,Int32,23,Int32,23,Int32,23,Int32,22,Int32
F0:08:D1:C8:A7:34,f882882d-2474-4de7-9bd3-e21913d22d05,2022-05-28T13:24:39.3091275Z,2,Int32,9,Int32,0,Int32,0,Int32,0,Int32,28,Int32,30,Int32,29,Int32,28,Int32,30,Int32,29,Int32,1502,Int32
F0:08:D1:C8:A7:34,fb59078c-3d9e-4ef7-b226-36034e575e6e,2022-05-28T15:48:21.9690262Z,2,Int32,5,Int32,0,Int32,0,Int32,0,Int32,13,Int32,16,Int32,14,Int32,13,Int32,16,Int32,14,Int32,2069,Int32
F0:08:D1:C8:A7:34,fd0ab8f7-9f46-44a2-af35-53ea14ac3a02,2022-05-28T13:58:45.5111226Z,2,Int32,23,Int32,0,Int32,0,Int32,0,Int32,9,Int32,13,Int32,10,Int32,9,Int32,11,Int32,10,Int32,2782,Int32
